time,dfof,speed,exp_upperObj,exp_lowerObj,Walking,rearing,Grooming
427.9666667,-0.012581761,2.952819815,0,0,0,0,0
428,-0.02326831,3.626281518,0,0,0,0,0
428.0333333,-0.032495809,4.134115926,0,0,0,0,0
428.0666667,-0.032903667,4.289731436,0,0,0,0,0
428.1,-0.020826389,4.083821482,0,0,0,0,0
428.1333333,0.000263533,3.63343097,0,0,0,0,0
428.1666667,0.015363483,3.092297103,0,0,0,0,0
428.2,0.008722206,2.565830913,0,0,0,0,0
428.2333333,-0.015562657,2.068663187,0,0,0,0,0
428.2666667,-0.033097515,1.555045048,0,0,0,0,0
428.3,-0.028524963,1.015199314,0,0,0,0,0
428.3333333,-0.014236954,0.568082825,0,0,0,0,0
428.3666667,-0.007203375,0.450556973,0,0,0,0,0
428.4,-0.007376457,0.862484485,0,0,0,1,0
428.4333333,-0.011226229,1.756326445,0,0,0,1,0
428.4666667,-0.01678612,2.749820606,0,0,0,1,0
428.5,-0.018839445,3.285639731,0,0,0,1,0
428.5333333,-0.01584194,2.974150205,0,0,0,1,0
428.5666667,-0.014349036,1.880987079,0,0,0,1,0
428.6,-0.012481622,0.524240328,0,0,0,1,0
428.6333333,-0.007420668,-0.447390905,0,0,0,1,0
428.6666667,-0.002503757,-0.670824884,0,0,0,1,0
428.7,-0.00659624,-0.269948982,0,0,0,1,0
428.7333333,-0.015110806,0.300394014,0,0,0,1,0
428.7666667,-0.01284085,0.625653952,0,0,0,1,0
428.8,-0.001404364,0.61348255,0,0,0,1,0
428.8333333,0.008529037,0.47728511,0,0,0,1,0
428.8666667,0.009646604,0.476229143,0,0,0,1,0
428.9,0.00800754,0.664461732,0,0,0,1,0
428.9333333,0.013516519,0.866653815,0,0,0,1,0
428.9666667,0.018702824,0.874331569,0,0,0,1,0
429,0.014062208,0.658680892,0,0,0,1,0
429.0333333,0.001662403,0.398041823,0,0,0,1,0
429.0666667,-0.005843206,0.306052927,0,0,0,1,0
429.1,0.000226526,0.434172247,0,0,0,1,0
429.1333333,0.005657439,0.635638277,0,0,0,1,0
429.1666667,-0.007459449,0.714935739,0,0,0,1,0
429.2,-0.024476727,0.611054942,0,0,0,1,0
429.2333333,-0.020685489,0.440841893,0,0,0,1,0
429.2666667,0.00119902,0.372343888,0,0,0,1,0
429.3,0.015986535,0.460992271,0,0,0,1,0
429.3333333,0.008893489,0.607124436,0,0,0,1,0
429.3666667,-0.003610067,0.665556161,0,0,0,1,0
429.4,0.003619618,0.589321117,0,0,0,1,0
429.4333333,0.025682479,0.465598373,0,0,0,1,0
429.4666667,0.040095532,0.417928988,0,0,0,1,0
429.5,0.033178875,0.482231802,0,0,0,1,0
429.5333333,0.006365083,0.581606718,0,0,0,1,0
429.5666667,-0.015833826,0.615995212,0,0,0,1,0
429.6,-0.012117988,0.56496678,0,0,0,1,0
429.6333333,0.006523057,0.496418832,0,0,0,1,0
429.6666667,0.016904157,0.481141026,0,0,0,1,0
429.7,0.017755165,0.515089204,0,0,0,1,0
429.7333333,0.017507333,0.53759355,0,0,0,1,0
429.7666667,0.010320241,0.519945617,0,0,0,1,0
429.8,-0.003942027,0.511559579,0,0,0,1,0
429.8333333,-0.012122823,0.573442832,0,0,0,1,0
429.8666667,-0.00246599,0.664652127,0,0,0,1,0
429.9,0.016106768,0.628820255,0,0,0,1,0
429.9333333,0.025548265,0.34781601,0,0,0,1,0
429.9666667,0.013387605,-0.053631195,0,0,0,1,0
430,-0.009349469,-0.171106012,0,0,0,1,0
